keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
what is apy,1,12100,81,0.21,I,api,ok,,,,,,,,,,
what is an api,2,9900,77,0.06,I,api,ok,,,,,,,,,,
what is git,3,8000,76,0.08,I,git,ok,,,,,,,,,,
what is devops,4,8100,77,0.41,I,devops,ok,,,,,,,,,,
what does apy mean,5,6600,64,0.09,I,api,ok,,,,,,,,,,
what is a git,6,6600,76,0.08,I,git,ok,,,,,,,,,,
what is agile,7,6600,76,0.22,I,agile,ok,,,,,,,,,,
how to pronounce agile,8,590,7,0,I,agile,ok,,,,,,,,,,
what is a saas,9,4400,77,0.35,I,saas,ok,,,,,,,,,,
how to remove a commit from git,10,480,9,0,I,git,ok,,,,,,,,,,
how to remove commit git,11,480,9,0,I,git,ok,,,,,,,,,,
how to use git,12,3600,75,0.1,I,git,ok,,,,,,,,,,
how to remove commit in git,13,480,10,0,I,git,ok,,,,,,,,,,
what is agility test,14,210,4,0,I,agile,ok,,,,,,,,,,
what does llm stand for,15,2900,69,0.07,I,llm,ok,,,,,,,,,,
how to delete a local branch in git,16,480,11,0,I,git,ok,,,,,,,,,,
where can i buy dockers pants,17,320,14,0.54,"L,T",docker,ok,,,,,,,,,,
where to buy dockers pants,18,320,14,0.54,"L,T",docker,ok,,,,,,,,,,
what is docker,19,2900,77,0.12,I,docker,ok,,,,,,,,,,
what does apy stand for,20,2400,65,0.09,I,api,ok,,,,,,,,,,
how to create api,21,390,10,1.74,I,api,ok,,,,,,,,,,
how to remove untracked files in git,22,390,10,0,I,git,ok,,,,,,,,,,
how to clone a git repository,23,920,26,0.02,I,git,ok,,,,,,,,,,
where can you buy dockers pants,24,320,16,0.54,"L,T",docker,ok,,,,,,,,,,
how to start docker daemon,25,590,17,0,I,docker,ok,,,,,,,,,,
how to delete a git branch,26,590,17,0,I,git,ok,,,,,,,,,,
what is a spike in agile,27,590,17,0,I,agile,ok,,,,,,,,,,
what is rest api,28,2400,74,0.03,I,api,ok,,,,,,,,,,
what is cloud computing,29,2400,77,0.29,I,cloud computing,ok,,,,,,,,,,
learning how to deep throat,30,390,13,0.02,I,deep learning,ok,,,,,,,,,,
what is orchestration in cloud computing,31,210,7,4.54,I,cloud computing,ok,,,,,,,,,,
how to pronounce saas,32,390,14,0,I,saas,ok,,,,,,,,,,
what is apy on a cd,33,590,23,0.11,I,api,ok,,,,,,,,,,
what is a spike in agile development,34,590,23,0,I,agile,ok,,,,,,,,,,
how to create apis,35,390,15,1.74,I,api,ok,,,,,,,,,,
what is machine learning,36,1900,78,0.21,I,machine learning,ok,,,,,,,,,,
what is deep learning,37,1800,75,0.18,I,deep learning,ok,,,,,,,,,,
what is the java api,38,260,10,0,I,api,ok,,,,,,,,,,
how to delete commit in git,39,260,10,0,I,git,ok,,,,,,,,,,
how to delete a commit in git,40,260,10,0,I,git,ok,,,,,,,,,,
git how to remove a branch,41,590,24,0,I,git,ok,,,,,,,,,,
what is a api token,42,480,20,0.07,I,api,ok,,,,,,,,,,
what is an api token,43,480,20,0.07,I,api,ok,,,,,,,,,,
what does git stand for,44,480,20,0,I,git,ok,,,,,,,,,,
how to figure out apy on cd,45,590,25,0.35,I,api,ok,,,,,,,,,,
how to calculate apy,46,1600,70,0.29,I,api,ok,,,,,,,,,,
what is apy in banking,47,810,35,0.16,I,api,ok,,,,,,,,,,
what is agile sprint,48,590,26,0.09,I,agile,ok,,,,,,,,,,
what is infrastructure in cloud computing,49,590,26,3.35,I,cloud computing,ok,,,,,,,,,,
git what is origin,50,480,21,0,I,git,ok,,,,,,,,,,
how do you pronounce saas,51,390,17,0,I,saas,ok,,,,,,,,,,
git bash how to change directory,52,320,14,0,I,git,ok,,,,,,,,,,
how to commit in git,53,590,33,0,"I,N",git,ok,,,,,,,,,,
how to tell if art is ai generated,54,390,18,0.6,I,generative ai,ok,,,,,,,,,,
what is an agile environment,55,390,18,0.18,I,agile,ok,,,,,,,,,,
how to checkin in git,56,590,28,0,I,git,ok,,,,,,,,,,
what is llm in ai,57,1500,73,1.18,I,llm,ok,,,,,,,,,,
what is vertical saas,58,320,15,0.27,I,saas,ok,,,,,,,,,,
how to run docker image,59,480,23,0.1,I,docker,ok,,,,,,,,,,
where docker images stored,60,260,12,0,I,docker,ok,,,,,,,,,,
cloud computing is the future,61,320,15,3.37,I,cloud computing,ok,,,,,,,,,,
how to install git,62,1100,66,0.03,"I,N",git,ok,,,,,,,,,,
how does apy work,63,610,30,0.27,I,api,ok,,,,,,,,,,
what is branch in git,64,480,24,0,I,git,ok,,,,,,,,,,
what are dockers pants,65,210,21,0.78,C,docker,ok,,,,,,,,,,
how to calculate apy for cd,66,590,30,0.35,I,api,ok,,,,,,,,,,
what is apy cd,67,590,30,0.11,I,api,ok,,,,,,,,,,
how to git commit,68,590,30,0,I,git,ok,,,,,,,,,,
what is a sprint in agile development,69,590,30,0.09,I,agile,ok,,,,,,,,,,
what is agile methodology,70,920,48,0.2,I,agile,ok,,,,,,,,,,
what is user stories in agile methodology,71,480,25,0.05,I,agile,ok,,,,,,,,,,
what is user story in agile methodology,72,480,25,0.05,I,agile,ok,,,,,,,,,,
what is the meaning of agility,73,590,31,0,I,agile,ok,,,,,,,,,,
what is agility mean,74,590,31,0,I,agile,ok,,,,,,,,,,
what is a sprint in agile,75,590,31,0.09,I,agile,ok,,,,,,,,,,
how to use api,76,720,39,0.14,I,api,ok,,,,,,,,,,
how to figure apy on a cd,77,590,32,0.35,I,api,ok,,,,,,,,,,
how to calculate apy on cd,78,590,32,0.35,I,api,ok,,,,,,,,,,
what is an api testing,79,480,26,0.16,I,api,ok,,,,,,,,,,
what is api test,80,480,26,0.16,I,api,ok,,,,,,,,,,
